"發病年月","確定病例數"
"200001","19"
"200002","8"
"200003","4"
"200004","10"
"200005","23"
"200006","45"
"200007","26"
"200008","25"
"200009","38"
"200010","24"
"200011","23"
"200012","22"
"200101","17"
"200102","12"
"200103","4"
"200104","11"
"200105","25"
"200106","21"
"200107","23"
"200108","27"
"200109","16"
"200110","31"
"200111","29"
"200112","29"
"200201","23"
"200202","11"
"200203","7"
"200204","15"
"200205","8"
"200206","16"
"200207","34"
"200208","29"
"200209","23"
"200210","24"
"200211","24"
"200212","22"
"200301","7"
"200302","5"
"200303","2"
"200304","12"
"200305","23"
"200306","37"
"200307","69"
"200308","24"
"200309","28"
"200310","36"
"200311","26"
"200312","13"
"200401","12"
"200402","5"
"200403","2"
"200404","11"
"200405","31"
"200406","52"
"200407","53"
"200408","61"
"200409","65"
"200410","25"
"200411","30"
"200412","16"
"200501","11"
"200502","10"
"200503","7"
"200504","15"
"200505","33"
"200506","67"
"200507","73"
"200508","42"
"200509","77"
"200510","69"
"200511","44"
"200512","14"
"200601","20"
"200602","9"
"200603","4"
"200604","7"
"200605","30"
"200606","49"
"200607","62"
"200608","52"
"200609","59"
"200610","36"
"200611","25"
"200612","30"
"200701","38"
"200702","8"
"200703","10"
"200704","19"
"200705","51"
"200706","58"
"200707","93"
"200708","27"
"200709","46"
"200710","53"
"200711","59"
"200712","43"
"200801","47"
"200802","15"
"200803","11"
"200804","15"
"200805","24"
"200806","61"
"200807","100"
"200808","47"
"200809","37"
"200810","39"
"200811","48"
"200812","45"
"200901","25"
"200902","19"
"200903","11"
"200904","15"
"200905","25"
"200906","44"
"200907","71"
"200908","29"
"200909","32"
"200910","24"
"200911","22"
"200912","35"
"201001","45"
"201002","14"
"201003","8"
"201004","23"
"201005","25"
"201006","33"
"201007","63"
"201008","26"
"201009","27"
"201010","60"
"201011","37"
"201012","40"
"201101","27"
"201102","1"
"201103","2"
"201104","8"
"201105","18"
"201106","64"
"201107","62"
"201108","47"
"201109","19"
"201110","27"
"201111","15"
"201112","31"
"201201","29"
"201202","11"
"201203","2"
"201204","20"
"201205","48"
"201206","91"
"201207","59"
"201208","41"
"201209","58"
"201210","43"
"201211","26"
"201212","30"
"201301","36"
"201302","9"
"201303","7"
"201304","19"
"201305","35"
"201306","82"
"201307","91"
"201308","65"
"201309","58"
"201310","79"
"201311","28"
"201312","28"
"201401","21"
"201402","4"
"201403","1"
"201404","9"
"201405","58"
"201406","88"
"201407","73"
"201408","25"
"201409","52"
"201410","34"
"201411","17"
"201412","30"
"201501","28"
"201502","5"
"201503","8"
"201504","13"
"201505","37"
"201506","73"
"201507","48"
"201508","35"
"201509","50"
"201510","87"
"201511","63"
"201512","45"
"201601","32"
"201602","4"
"201603","2"
"201604","24"
"201605","77"
"201606","78"
"201607","45"
"201608","22"
"201609","47"
"201610","57"
"201611","59"
"201612","37"
"201701","37"
"201702","30"
"201703","10"
"201704","16"
"201705","37"
"201706","65"
"201707","67"
"201708","38"
"201709","38"
"201710","34"
"201711","29"
"201712","20"
"201801","54"
"201802","11"
"201803","6"
"201804","13"
"201805","32"
"201806","33"
"201807","57"
"201808","40"
"201809","28"
"201810","41"
"201811","26"
"201812","43"
"201901","24"
"201902","16"
"201903","9"
"201904","40"
"201905","49"
"201906","66"
"201907","51"
"201908","49"
"201909","51"
"201910","37"
"201911","27"
"201912","23"
"202001","20"
"202002","12"
"202003","12"
"202004","25"
"202005","40"
"202006","53"
"202007","75"
"202008","25"
"202009","42"
"202010","56"
"202011","31"
"202012","31"
"202101","26"
"202102","3"
"202103","4"
"202104","20"
"202105","38"
"202106","19"
"202107","33"
"202108","23"
"202109","49"
"202110","38"
"202111","23"
"202112","17"
"202201","15"
"202202","9"
"202203","2"
"202204","14"
"202205","23"
"202206","52"
"202207","58"
"202208","22"
"202209","29"
"202210","19"
"202211","12"
"202212","21"
"202301","15"
"202302","0"
"202303","1"
"202304","4"
"202305","18"
"202306","31"
"202307","25"
"202308","21"
"202309","26"
"202310","33"
"202311","12"
"202312","17"
"202401","21"
"202402","5"
"202403","2"
"202404","10"
"202405","25"
"202406","24"
"202407","35"
"202408","20"
"202409","34"
"202410","35"
"202411","26"
"202412","17"
"202501","8"
"202502","1"
"202503","1"
"202504","4"
"202505","36"
"202506","36"
"202507","23"
"202508","16"
"202509","22"
"202510","21"
"202511","17"
"202512","18"
"202601","21"
"202602","4"
"202603","3"
"202604","15"
"202605","43"
"202606","28"
"202607","24"
"202608","6"
"202609","2"
